year,1,2,3,4,5,6,7,8,9,10,11,12
1970,0.512914739,0.649066215,1.370923072,2.004214111,3.004373342,4.846254917,6.066121403,6.842824506,5.14,8.04,12.84,17.38
1971,0.512914739,0.608751571,0.867028022,1.695816115,2.731328761,3.86743701,6.185775251,7.045357503,9.109985692,10.17616968,13.43820107,12.76824403
1972,0.512914739,0.692553864,1.398310622,2.022733646,2.45079843,4.134729505,4.957630025,6.829194734,6.143094894,6.355831675,16.55,15.01366828
1973,0.512914739,0.727306678,1.261359069,2.193685688,3.102174659,3.622160473,4.896621367,7.627012895,9.541626664,11.27682,10.41832659,10.55
1974,0.512914739,0.597210971,1.087012546,1.548300779,2.615770246,4.381287612,5.525449634,6.562585679,8.616953717,8.899232357,11.27201747,15.40535066
1975,0.512914739,0.685785276,1.228226566,2.141617864,3.152962495,6.129752287,6.630322516,8.965766211,9.413820874,13.52179084,13.29637232,13.53860663
1976,0.512914739,0.59872774,1.192765514,2.144757897,3.001887371,4.423553281,6.068717266,8.560418293,10.83470748,12.00810882,16.17311197,12.47136243
1977,0.48,1.042792849,1.264562474,1.855377703,2.343768823,4.280318047,5.758559047,7.752048906,9.081046923,9.440939926,10.74543611,15.40681458
1978,0.512914739,0.84352712,1.571896974,1.914183766,2.392471974,3.543568795,4.171678894,6.160473272,6.179393841,9.216773016,6.561326137,7.23302024
1979,0.512914739,0.833104203,1.272407187,2.035131063,3.112237738,4.148070165,5.341271429,7.259713181,8.65462592,11.23545958,10.64540462,12.00206755
1980,,0.76,1.463,2.053,2.942,4.491,6.316,6.84,8.741,9.935,11.369,15.061
1981,,0.752,1.25,1.927,2.83,3.61,5.534,6.946,7.998,10.798,11.407,12.357
1982,,0.798,1.337,1.944,2.875,4.155,5.479,7.095,8.043,9.412,10.546,14.839
1983,0.3782,0.838324267,1.367167958,1.94538515,2.71585834,4.252269672,6.19054561,8.328346316,10.39906503,11.96074681,12.63701697,16.75388352
1984,0.3894,0.926345813,1.535264855,2.056161819,2.630744957,3.675850496,5.107756308,7.093724653,9.381521745,11.23825826,12.78905834,14.0278
1985,0.3717,0.814935653,1.357396281,1.893389477,2.496014283,3.387224048,4.852679995,7.141181489,7.260445629,9.576770035,14.40728812,15.82103804
1986,0.3712,0.790460358,1.316116544,1.923920132,2.727820158,4.096860999,5.006646014,7.34636216,8.975259741,9.073977365,10.01707107,12.73983706
1987,,0.941938802,1.47752093,2.155538021,3.01873125,3.749052752,5.342814847,7.381324125,8.314029469,11.10493229,11.93529727,15.8467
1988,,0.891080061,1.373018745,2.013743571,2.955326416,4.14794891,5.482210802,8.161478108,9.857138298,10.93799065,13.0486,16.0407
1989,0.537107073,0.886107753,1.540322776,2.307236444,2.880725956,4.258167647,5.089214892,8.097499329,9.675791187,12.17758639,15.0372,14.59148969
1990,,0.958305045,1.446308174,2.230020015,3.068942116,3.820474533,5.913599405,8.109074644,10.75137778,11.9357937,13.66953961,15.17468765
1991,0.8232,0.891337235,1.4121922,2.126776571,2.908966354,4.000291177,5.547922722,7.634561917,10.46148682,12.71695794,13.99394587,15.77285247
1992,,0.994857378,1.296412858,1.934788144,3.016214927,4.080308248,4.929221795,6.731425805,9.622572459,12.23290763,14.20973261,19.1478
1993,,0.740990361,1.499068702,1.841782722,2.595323584,4.106790211,5.645167369,7.636160988,11.08620665,11.58795802,16.46317835,
1994,,0.837884631,1.416107772,2.324856195,2.640285905,3.585358982,5.477930225,5.905886448,10.16668858,7.473684211,15.68460626,
1995,,0.964645059,1.592809896,2.215672173,3.752381518,4.683608324,5.405107409,8.346392639,10.82844322,11.49962188,15.51490887,
