year,age1,age2,age3,age4,age5,age6,age7
1989,0,0.018927445,0.331230284,0.353312303,0.246056782,0.031545741,0.018927445
1990,0,0.02962963,0.111111111,0.577777778,0.188888889,0.088888889,0.007380174
1991,0,0.021978022,0.282051282,0.21978022,0.373626374,0.073260073,0.033189033
1992,0,0.01509434,0.264150943,0.335849057,0.128301887,0.188679245,0.060377358
1993,0,0.016949153,0.220338983,0.525423729,0.189830508,0.023728814,0.023728814
1994,0,0.022875817,0.310457516,0.470588235,0.163398693,0.029411765,0.003267974
1995,0,0.009836066,0.108196721,0.632786885,0.2,0.036065574,0.013114754
1996,0,0.012658228,0.143459916,0.405063291,0.405063291,0.025316456,0.008438819
1997,0,0.008333333,0.079166667,0.4,0.341666667,0.158333333,0.0125
1998,0,0.008403361,0.205882353,0.390756303,0.231092437,0.100840336,0.06302521
1999,0,0.014084507,0.211267606,0.411971831,0.207746479,0.137323944,0.017605634
2000,0,0.05,0.465384615,0.284615385,0.123076923,0.034615385,0.042307692
2001,0,0.021428571,0.271428571,0.560714286,0.103571429,0.039285714,0.003571429
2002,0,0.011627907,0.240310078,0.496124031,0.197674419,0.046511628,0.007751938
2003,0,0.003717472,0.382899628,0.31598513,0.223048327,0.059479554,0.014869888
2004,0,0,0.053333333,0.81,0.113333333,0.023333333,0
2005,0.008,0.344,0.116,0.512,0.016,0.004,0
2006,0.030864198,0.290123457,0.515432099,0.083333333,0.049382716,0.030864198,0
2007,0.014184397,0.340425532,0.276595745,0.276595745,0.021276596,0.067375887,0.003546099
2008,0.010238908,0.249146758,0.290102389,0.133105802,0.194539249,0.122866894,0
2009,0.030864198,0.290123457,0.515432099,0.083333333,0.049382716,0.030864198,0
2010,0.023333333,0.25,0.32,0.376666667,0.01,0.006666667,0.013333333
2011,0.020761246,0.356401384,0.266435986,0.283737024,0.062283737,0.006920415,0.003460208
2012,0.029585799,0.405325444,0.319526627,0.201183432,0.041420118,0.00295858,0
2013,0.01,0.11,0.3,0.56,0.02,0,0
2014,0.004366812,0.104803493,0.371179039,0.510917031,0.008733624,0,0
2015,0.00729927,0.401459854,0.204379562,0.302919708,0.072992701,0.010948905,0.003367003
2016,0.020134228,0.241610738,0.654362416,0.05033557,0.023489933,0.003355705,0.003355705
2017,0,0.134057971,0.278985507,0.355072464,0.210144928,0.003623188,0.018115942
2018,0.018292683,0.152439024,0.286585366,0.365853659,0.146341463,0.006097561,0.024390244
2019,0.021212121,0.139393939,0.190909091,0.524242424,0.036363636,0.066666667,0.021212121
2020,0.020618557,0.144329897,0.35395189,0.144329897,0.336769759,0,0
2021,0.04534005,0.340050378,0.460957179,0.103274559,0.040302267,0.002518892,0.007556675
