Age,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
0,0,0,44.208598,45.8509645,47.55434555,49.32100787,51.15330237,53.05366732,55.02463157,57.0688179,59.18894654,61.38783877
1,63.66842071,66.03372715,68.48690563,71.03122064,73.67005794,76.40692906,63.41775112,65.77374509,67.98702203,70.27477542,72.63951137,75.08382035
2,77.61037997,80.22195795,82.92141515,85.71170869,88.59589521,91.57713417,76.00902136,78.56671386,80.983739,83.47512145,86.04314876,88.69017882
3,91.41864207,94.23104372,97.12996605,100.1180708,103.1981015,106.3728863,88.2894956,91.00563224,93.5886974,96.24507919,98.97685859,101.7861757
4,104.6752312,107.6462884,110.7016749,113.8437842,117.0750777,120.3980869,99.93041215,102.7667945,105.4818137,108.2685617,111.1289333,114.0648738
5,117.0783796,120.1714998,123.3463379,126.6050528,129.9498604,133.3830352,110.7079192,113.6327368,120.9749871,128.7916485,137.1133746,145.9727996
6,155.4046663,108.7832664,115.8121736,123.2952457,131.261828,139.743162,115.9868244,123.4811814,131.2708395,139.5518986,148.3553581,157.7141729
7,167.6633771,117.364364,124.7681502,132.6389951,141.0063626,149.9015751,124.4183074,132.2670829,140.4438473,149.1261001,158.3450906,168.134
8,178.5280608,124.9696426,132.6952784,140.8985139,149.6088742,158.8577099,131.8518992,140.0029969,148.5118519,157.5378431,167.1124,177.2688625
9,188.0425965,131.6298175,139.6297822,148.1159547,157.1178847,166.6669182,138.3335421,146.7409339,155.5327373,164.8512909,174.7281541,185.1967776
10,196.2926158,137.404831,145.6372733,154.3629522,163.6114195,173.4139974,143.9336178,152.5572243,161.5887778,171.1550091,181.2875717,192.019993
11,203.3877853,142.3714497,150.7999943,159.7275179,169.1835606,179.1994113,148.7355114,157.5408153,166.7746109,176.5496185,186.8975597,197.8520153
12,209.4485343,146.613974,155.2073247,164.3043495,173.9345699,184.1292377,152.8272673,161.784792,171.1885736,181.1389525,191.6676996,202.8084327
13,214.5967238,150.2177067,158.9491486,168.1881077,177.9640837,188.3082908,156.2958813,165.3806187,174.9268558,185.0241288,195.7042449,207.0008475
14,218.949522,153.2646654,162.1115355,171.4690719,181.3667517,191.8357537,159.2236756,168.4145165,178.0798522,188.299883,199.1064429,210.5331931
