Age,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
0,0,0,39.77190646,41.70685725,43.73594571,45.86375175,48.09507809,50.43496113,52.88868228,55.46177989,58.16006178,60.98961831
1,63.95683614,67.06841267,70.33137112,73.75307639,77.34125172,64.19323893,67.31631673,70.59133601,73.52688113,76.58450107,79.76927234,83.08648251
2,86.54163907,90.14047854,93.88897597,97.79335491,101.8600977,84.54388107,88.05964365,91.72160943,95.03413073,98.46628356,102.0223884,105.7069218
3,109.524522,113.4799945,117.5783188,121.8246539,126.2243451,104.7662064,108.5498327,112.4701044,116.0550583,119.7542817,123.5714168,127.510222
4,131.5745756,135.7684794,140.0960626,144.5615865,149.1694476,123.8106415,127.757072,131.8292939,135.5975634,139.4735469,143.4603232,147.5610595
5,151.7790131,156.1175346,160.5800704,165.1701654,169.8914659,141.0099167,145.0406094,149.1865172,153.0697334,157.0540269,161.1420287,165.3364381
6,169.640025,174.0556311,178.5861722,183.23464,188.004104,156.0434063,160.1051024,164.2725214,168.2222377,172.2669198,176.4088509,180.6503693
7,184.9938694,189.4418032,193.9966818,198.6610764,203.4376202,168.8532248,172.9130781,177.0705452,184.8707266,193.0145159,201.5170493,210.3941301
8,219.6622575,182.3196738,190.3510859,198.7362919,207.4908768,172.2174278,179.8038232,187.7244089,195.7407685,204.0994491,212.8150688,221.90287
9,231.3787458,192.044359,200.2451926,208.7962247,217.71241,180.7013003,188.4177534,196.4637206,204.6471884,213.1715291,222.0509412,231.3002149
10,240.9347564,199.9758478,208.3056092,216.9823371,226.020484,187.5970017,195.4111366,203.5507603,211.8632905,220.5152847,229.5206059,238.893683
11,248.6495344,206.3791135,214.807147,223.5793614,232.7098121,193.1491441,201.036897,209.246767,217.6589906,226.4094059,235.511609,244.9797425
12,254.8285178,211.5076697,220.0107871,228.8557503,238.0563023,197.5867309,205.530193,213.7930014,222.2822864,231.1086635,240.2855182,249.826767
13,259.7468794,215.5899099,224.1505464,233.0511084,242.3050935,201.1132276,209.0990246,217.4019212,225.950829,234.835906,244.0703713,253.6679641
14,263.6429635,218.8236597,227.4284746,236.3716571,245.6665128,203.9032057,211.9213027,220.2546958,228.84978,237.7802734,247.0592649,256.7003541
15,266.7176712,221.3756671,230.0144953,238.9904399,248.3166562,206.1028246,214.1456548,222.5023435,231.1332236,240.0988962,249.4123477,259.0870687
16,269.1370727,223.3837703,232.0488411,241.0500305,250.4003766,207.8323126,215.8941413,224.2686888,232.9273415,241.9202908,251.2604434,260.9612042
17,271.0364958,224.9602915,233.6456459,242.6663278,252.0352836,209.1892854,217.2657466,225.654027,234.3342428,243.3483597,252.709222,262.4301678
18,272.5250485,226.1957902,234.896846,243.9326045,253.3159409,210.2522309,218.339987,226.7388542,235.4358221,244.4663775,253.8433157,263.5799229
19,273.6899949,227.1626957,235.8759208,244.923357,254.3178235,211.0837935,219.180284,227.5873296,236.2973186,245.3406473,254.730073,264.4788412
20,274.6007042,227.9185845,236.6412509,245.6977423,255.1008344,211.7336925,219.8369473,228.2503216,236.9704356,246.0236944,255.4228254,265.1810424
21,275.312064,228.5090131,237.2390102,246.3025297,255.7123133,212.2412201,220.3497197,228.7679978,237.4959876,246.556969,255.9636462,265.7292084
22,275.8673477,228.9698986,237.7055913,246.7745695,256.1895487,212.6373254,220.7498955,229.1719775,237.9060951,246.9730842,256.3856309,266.1569052
23,276.3005787,229.3294803,238.0696006,247.1428211,256.5618368,212.9463246,221.0620561,229.4870913,238.2259776,247.2976414,256.7147548,266.4904726
24,276.6384506,229.609914,238.3534773,247.4299963,256.8521498,213.1872843,221.3054727,229.7328023,238.4754003,247.5507022,256.9713693,266.7505447
25,276.9018716,229.8285534,238.5747952,247.6538797,257.0784733,213.3751328,221.4952314,229.9243444,238.6698317,247.7479655,257.1713986,266.9532649
26,277.1071978,229.9989742,238.7473001,247.8283806,257.2548723,213.521544,221.6431283,230.0736282,238.8213648,247.9017032,257.3272894,267.1112502
