Herd,Sex,Month,Proportion
G,1,1,0.028488252
G,2,1,0
S,1,1,0.100066303
S,2,1,0.003668677
G,1,2,0.006060241
G,2,2,0
S,1,2,0.320176394
S,2,2,0
G,1,3,0.043121629
G,2,3,0
S,1,3,0.318250182
S,2,3,0
G,1,4,0.028401382
G,2,4,0
S,1,4,0.125640631
S,2,4,0
G,1,5,0
G,2,5,0
S,1,5,0.099103354
S,2,5,0
G,1,6,0
G,2,6,0
S,1,6,0
S,2,6,0
G,1,7,0
G,2,7,0
S,1,7,0.009128136
S,2,7,0
G,1,8,0
G,2,8,0
S,1,8,0.018065406
S,2,8,0
G,1,9,0
G,2,9,0
S,1,9,0.004311007
S,2,9,0
G,1,10,0
G,2,10,0
S,1,10,0.011096001
S,2,10,0
G,1,11,0
G,2,11,0
S,1,11,0.079718794
S,2,11,0.000438312
G,1,12,0.00414843
G,2,12,0
S,1,12,0.124994923
S,2,12,0.001924636
