year,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1970,0,547462.2789,242503.9131,322918.6406,578658.1694,218978.636,489315.109,183570.9366,74947.81912,19009.4084,69518.84616,0,0,0
1971,20613.24882,90687.41003,601692.0707,276845.7243,137933.0922,283708.6949,162913.8538,517397.1254,33511.21859,0,17177.70794,0,0,0
1972,0,316425.0659,473471.6309,632610.0984,1137353.604,359804.8355,133587.2884,44334.81546,235394.3934,70325.45921,22264.01385,22264.01385,97919.85507,0
1973,23454.60446,50851.90027,826108.5522,207498.5673,885272.8491,217063.1534,132216.4515,70954.234,0,127293.202,30747.35347,0,0,0
1974,0,323475.3794,502229.0672,1328857.067,650180.731,407126.1587,433054.3929,19002.20272,0,56123.72627,34922.38163,38004.40742,0,0
1975,0,872988.2202,2303263.619,756345.7798,1364941.75,648178.4327,391504.8559,200783.8391,112552.1832,27266.99394,0,111717.5,27266.99394,0
1976,0,19806.11,632330.2378,1005541.28,462729.0781,854395.1402,573593.6195,244925.5445,171221.7282,67193.31065,33241.78997,0,0,0
1977,14637.45036,181629.6981,1344496.088,2710041.386,1725432.256,268168.1221,778622.1358,191770.8226,34000.97982,0,26863.39846,59439.33565,0,0
1978,0,87889.25511,702280.6295,552760.2308,1441049.366,796816.9253,379361.2837,296102.2447,66659.62138,71359.9202,0,0,0,0
1979,0,2623497.254,2846397.1,1563401.892,790301.3164,947374.0184,677203.409,177347.0922,59393.81978,33552.23955,0,72108.66262,0,0
1980,2406091.798,204604.0206,702276.5105,1219969.421,339704.4601,175827.5992,391679.1575,217155.8662,118331.0939,123112.6158,0,18638.69823,0,0
1981,0,919743.2987,1892600.157,1477550.637,1535307.175,822119.3703,545855.6993,231765.5031,349476.1029,60943.32997,84677.7988,26841.7917,0,0
1982,24057.15223,517893.2993,1441761.527,1380156.761,1237526.591,1085349.528,628815.4993,221384.0803,238209.2619,93700.93789,0,30743.35155,26841.7917,0
1983,71495,34379,513553,1068783,455702,542820,400147,243580,0,63157,37391,0,0,0
1984,0,466206,4328431,2014857,1161390,312793,149781,65799,62576,22724,25472,0,0,0
1985,0,404318,7923164,3497059,1183901,995042,283090,169342,190386,164514,0,0,0,0
1986,25472,748952,717719,1973673,717094,163019,114252,99203,21188,97101,0,0,0,0
1987,0,313269,1118304,313411,855475,278366,153867,176571,116969,49227,40054,62738,0,0
1988,233321,1837448,2323360,4102545,178863,660628,268077,103406,186584,0,0,0,0,0
1989,8913,657522,3179154,1631602,825925,190430,261746,19619,27064,51503,19256,0,0,0
1990,0,364200,659913,3335327,1043853,1002082,127754,305685,79655,41619,0,20605,20605,0
1991,0,466370,620423,531706,1253133,371828,206478,48006,108815,0,21061,12379,0,0
1992,0,144057,2183909,587558,321538,764526,65638,236719,20772,55894,0,0,0,0
1993,0,336079,658527,1853896,423034,49184,182917,19756,0,0,0,0,0,0
1994,656797,877528,2239858,2112886,995809,180335,16497,143483,37997,19630,0,31579,31579,0
1995,995830,89450,312615,2671122,418413,350582,44777,47332,59619,0,41774,0,0,0
1996,0,132015,464712,740137,3149296,577758,323825,0,0,31660,0,0,0,0
1997,65451,222703,170346,628774,593678,1236412,193720,84992,0,0,30614,0,0,0
1998,25909,210862,1487978,1209168,923466,464932,867719,128227,61179,0,0,0,0,0
1999,192444,312648,456708,561084,206945,114696,28862,199403,45839,0,0,0,0,0
2000,61153,345874,1345648,584512,733677,179498,102022,12310,0,0,0,0,0,0
2001,1262004.262,0,566501.7748,1449417.859,473784.5821,239619.0539,21843.64973,0,0,0,0,0,0,0
2002,0,4269216.585,1743034.46,2142631.99,1953642.781,214413.8332,183322.8247,72914.04028,19295.53492,72686.49365,0,0,0,0
2003,456686.9175,31430.13547,2779562.754,359699.0838,891955.5572,607900.1218,176001.1064,48607.57182,19599.08449,18618.6302,0,0,0,0
2004,45322.90559,0,198570.8666,2497104.641,126245.5735,163679.2829,78522.74071,0,0,0,0,0,0,0
2005,42916.12269,90973.98232,817704.6727,247018.3536,1208921.587,162024.1133,150649.5399,19744.26829,0,0,0,0,0,0
2006,209321.5943,95336.42116,677748.4217,1256917.649,175065.867,177658.4568,99064.33963,19850.87698,0,0,0,0,0,0
2007,29602.69321,210929.6647,1117602.661,386924.6583,714487.9323,0,127321.9545,0,0,0,0,0,15683.05556,0
2008,21086.42,149072.5,532775.4,130855.3,85320.39,70394.31,0,0,0,0,0,0,0,0
2009,73629.09042,121925.8222,520488.9903,1356376.089,391576.1972,72274.82787,168385.8464,0,0,0,0,0,0,0
2010,317866.1844,115331.3335,262855.6274,154131.4852,73846.34867,79080.73346,0,49647.1985,0,0,0,0,0,0
2011,109196.9244,151312.3675,430354.5917,89971.46058,249106.1753,32783.28477,0,0,0,0,0,0,0,0
2012,38750.79745,273905.3995,1491563.304,303722.9466,59001.91938,28615.93677,0,0,0,0,0,0,0,0
2013,395841.2729,25248.11045,218070.4865,431121.2534,43007.15083,0,0,0,0,0,0,0,0,0
2014,97909.66847,100142.8877,358351.7423,480753.0118,150475.9003,0,0,0,0,0,0,0,0,0
2015,1285010.761,91369.929,645299.1863,135686.7805,192743.661,22497.20732,14637.99201,0,0,0,0,0,0,0
2016,261374.6314,217570.2483,623372.746,1738530.485,145431.7714,102519.9541,0,0,0,0,0,0,0,0
2017,185431.8,22601.81,135128.9,246937.3,158261.4,213307.7,0,0,0,0,0,0,0,0
2018,16038.10659,184217.333,66810.36057,267817.3582,474383.7431,126685.8609,0,0,0,0,0,0,0,0
2019,20647.52861,0,49464.45992,0,125069.1493,0,0,0,0,0,0,0,0,0
2020,131904.1027,61487.49918,139490.1236,57461.61482,29266.29897,0,0,0,0,0,0,0,0,0
