year,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1970,26982.08272,390365.676,1285480.866,2103013.774,3638215.596,1627416.624,2056812.965,875240.7286,422316.238,137979.981,68114.13055,13491.04136,0,0
1971,0,271953.9524,6476990.01,3657344.065,538286.2674,1253230.155,544014.5081,537025.0847,85325.69883,0,0,0,0,84301.54183
1972,0,10558.207,950166.889,2532596.865,1399788.729,352308.9604,368421.6133,157589.8444,302116.4878,305487.4017,142022.0534,0,0,0
1973,0,62933.99079,1370710.797,966655.6934,1256034.83,409230.8318,120795.6742,84317.60367,32940.12937,43088.94462,32380.41843,29071.14586,25921.14559,0
1974,111089.0258,87897.83479,501510.5243,3195437.129,476119.8682,1258298.687,493365.6428,99717.36771,0,0,0,6426.388742,0,0
1975,0,138084.5638,560786.8106,855792.298,1585261.138,1793907.752,593372.5378,559094.8711,45114.71512,72181.94207,0,0,0,0
1976,0,132163.8291,644262.5838,1806212.389,1843320.775,1196824.364,314324.2005,130308.4799,49167.90117,0,35601.32145,12780.9864,0,0
1977,0,69647.6875,936805.0139,1501224.667,815346.5726,521045.3574,543952.4573,133628.252,167033.7523,37652.86504,0,0,11558.23569,0
1978,23116.47138,95181.2095,365469.0649,1158784.862,1047741.935,547734.404,116778.1476,66212.71837,26297.83183,0,0,0,0,0
1979,0,104647.5125,675069.3992,250958.3344,1099284.502,816983.9546,341817.3656,262151.6913,247681.1428,25675.52411,61768.19528,65184.42568,0,0
1980,0,0,208067.6697,1643967.599,772253.87,876475.214,987228.2133,173064.9491,102985.2644,63309.9669,0,50750.48495,0,0
1981,61741.16314,1349362.611,473425.098,909043.5223,960946.3274,523037.3976,289503.2124,237887.9024,68223.93564,37291.57884,6088.15372,0,6632.013737,0
1982,49111.80431,232547.1505,388962.1408,447889.5114,592488.379,395589.343,247539.2042,21657.10691,21657.10691,91969.00534,49222.85359,0,0,6283
1983,136150,106702,571150,3157163,1913708,936948,545732,145581,0,13491,0,0,0,0
1984,0,354021,1417287,1375613,1200526,1506725,537808,416424,0,35650,0,0,0,0
1985,69460,90308,836832,833632,343420,455816,483128,313632,76991,0,12781,0,6399,22398
1986,0,19181,615538,946529,509020,151373,434514,348883,195383,0,19171,0,0,0
1987,6426,79111,1229388,304511,325000,249505,106495,68336,186852,25746,0,0,0,0
1988,26613,792996,1602364,5143217,1317096,886911,228282,106518,57024,91150,38341,13434,0,0
1989,300550,136098,2909652,1788796,1722711,229947,226856,88772,0,30044,18006,13937,0,0
1990,27587,150545,213447,2187324,1419032,1319245,112710,108053,0,0,0,0,6804,0
1991,34328,147242,1106543,598891,1833232,722388,544859,79778,6745,18850,0,0,0,0
1992,35348,107548,547396,981383,359185,945741,404969,223603,103586,28870,0,0,0,0
1993,14293,32993,296197,664398,501862,80309,82131,32472,61325,0,6412,40601,0,0
1994,91540,380175,1072744,626393,609586,268173,19333,51046,49552,50069,0,0,33090,0
1995,216474,32648,534219,2107480,1058632,247708,229271,46878,31812,34244,0,7185,0,0
