year,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1970,26982.08,937828,1527985,2425932.4,4216874,1846395,2546128,1058812,497264.1,156989.4,137633,13491.04,0,0
1971,20613.25,362641.4,7078682,3934189.8,676219.4,1536939,706928.4,1054422,118836.9,0,17177.71,0,0,84301.54
1972,0,326983.3,1423639,3165207,2537142,712113.8,502008.9,201924.7,537510.9,375812.9,164286.1,22264.01,97919.86,0
1973,23454.6,113785.9,2196819,1174154.3,2141308,626294,253012.1,155271.8,32940.13,170382.1,63127.77,29071.15,25921.15,0
1974,111089,411373.2,1003740,4524294.2,1126301,1665425,926420,118719.6,0,56123.73,34922.38,44430.8,0,0
1975,0,1011073,2864050,1612138.1,2950203,2442086,984877.4,759878.7,157666.9,99448.94,0,111717.5,27266.99,0
1976,0,151969.9,1276593,2811753.7,2306050,2051220,887917.8,375234,220389.6,67193.31,68843.11,12780.99,0,0
1977,14637.45,251277.4,2281301,4211266.1,2540779,789213.5,1322575,325399.1,201034.7,37652.87,26863.4,59439.34,11558.24,0
1978,23116.47,183070.5,1067750,1711545.1,2488791,1344551,496139.4,362315,92957.45,71359.92,0,0,0,0
1979,0,2728145,3521466,1814360.2,1889586,1764358,1019021,439498.8,307075,59227.76,61768.2,137293.1,0,0
1980,2406092,204604,910344.2,2863937,1111958,1052303,1378907,390220.8,221316.4,186422.6,0,69389.18,0,0
1981,61741.16,2269106,2366025,2386594.2,2496254,1345157,835358.9,469653.4,417700,98234.91,90765.95,26841.79,6632.014,0
1982,73168.95654,750440.4498,1830723.667,1828046.272,1830014.97,1480938.871,876354.7035,243041.1872,259866.3688,185669.9432,49222.85359,30743.35155,26841.7917,6283
1983,207645,141081,1084703,4225946,2369410,1479768,945879,389161,0,76648,37391,0,0,0
1984,0,820227,5745718,3390470,2361916,1819518,687589,482223,62576,58374,25472,0,0,0
1985,69460,494626,8759996,4330691,1527321,1450858,766218,482974,267377,164514,12781,0,6399,22398
1986,25472,768133,1333257,2920202,1226114,314392,548766,448086,216571,97101,19171,0,0,0
1987,6426,392380,2347692,617922,1180475,527871,260362,244907,303821,74973,40054,62738,0,0
1988,259934,2630444,3925724,9245762,1495959,1547539,496359,209924,243608,91150,38341,13434,0,0
1989,309463,793620,6088806,3420398,2548636,420377,488602,108391,27064,81547,37262,13937,0,0
1990,27587,514745,873360,5522651,2462885,2321327,240464,413738,79655,41619,0,20605,27409,0
1991,34328,613612,1726966,1130597,3086365,1094216,751337,127784,115560,18850,21061,12379,0,0
1992,35348,251605,2731305,1568941,680723,1710267,470607,460322,124358,84764,0,0,0,0
1993,14293,369072,954724,2518294,924896,129493,265048,52228,61325,0,6412,40601,0,0
1994,748337,1257703,3312602,2739279,1605395,448508,35830,194529,87549,69699,0,31579,64669,0
1995,1212304,122098,846834,4778602,1477045,598290,274048,94210,91431,34244,41774,7185,0,0
1996,30598,339353,838731,2047602,5527315,880296,753167,147574,0,55816,15219,0,0,0
1997,95231,348507,569330,1188646,1443584,2461618,321491,194102,100236,0,56867,0,0,0
1998,65341,210862,1929412,1808403,1418000,1022134,1370541,225195,115851,6324,0,0,0,0
1999,868970,381850,786617,1291037,881596,850435,194324,297081,45839,0,0,0,0,20621
2000,3324487,432175,1497131,830292,998590,409388,324899,156591,147914,0,0,0,0,0
2001,2169621.809,150402.7885,1053239.088,2890784.854,950808.8673,645792.6697,44238.57258,60385.03864,0,30612.26189,0,0,0,0
2002,110047,4328584,1989920,2573109,2500794,520023,324206,122025,19296,98053,0,0,0,0
2003,714532,42723,3013929,546233,1082098,751515,190840,78344,19599,18619,0,0,0,0
2004,167272,30958,272471,2977356,318660,325001,112563,27101,7929,0,0,0,0,0
2005,54017,246184,1750219,384249,1869807,224164,223278,39158,0,28964,0,14482,0,0
2006,272408,102045,813161,1843841,398348,353645,162194,19851,0,0,0,0,0,0
2007,101639,300051,1306580,707224,1027745,113039,409919,25414,0,0,0,0,15683,0
2008,154080,276828,1086458,346218,308985,277008,27134,0,0,0,0,0,0,0
2009,331114,545423,3133375,4816535,876735,356371,419990,0,0,0,0,0,0,0
2010,752459,206294,408368,424260,647518,99106,10467,89309,0,0,0,0,0,0
2011,659325,244656,681728,342897,613978,282038,17465,0,18497,0,0,0,0,0
2012,45572,292072,1566557,456050,202457,98787,23735,0,0,11228,0,0,0,0
2013,3083693,93983,350952,588781,271751,65121,0,0,0,0,0,0,0,0
2014,301465,100143,455917,565089,392653,20878,0,0,0,0,0,0,0,0
2015,1817533,134918,1186381,446459,524498,195488,26733,0,0,0,0,0,0,0
2016,469162,249794,648000,1915975,178950,142553,21628,7041,0,0,0,0,0,0
2017,267735,49524,178138,330582,438459,425537,18067,52323,61787,6686,0,0,0,0
2018,94727,184217,73458,291230,498370,152685,8439,24219,0,0,0,0,0,0
2019,75882,35925,217727,241057,326267,19657,44336,7952,0,0,0,0,0,0
2020,207735,61487,214498,358533,124642,171133,0,0,0,0,0,0,0,0
2021,4801,45226,652265,1358819,950345,390005,185713,0,96760,0,0,0,0,0
