year,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1970,0.003052547,0.121123807,0.565347168,1.304218173,2.192861313,3.148282159,4.004749563,4.987722167,6.451801192,8.352605547,10.31102149,14.44968885,,
1971,,0.080693171,0.401730088,0.764608761,1.967156206,3.050530895,3.492114598,5.812842175,5.56225252,,14.44968885,,,
1972,,0.1061882,0.53690648,1.291254723,2.179137457,3.727510615,4.477736121,4.434992173,7.169179899,9.038825269,9.807407733,15.66379586,15.66379586,18.29414961
1973,0.003052547,0.09413186,0.559888608,1.128786293,2.865965248,4.051942614,5.135504353,7.622532501,4.97937732,8.586654735,8.180150119,4.424428074,15.66379586,
1974,0.003052547,0.104843706,0.51612404,1.293017442,2.009426105,4.118068647,6.334320396,7.055291704,,13.30051903,6.921287737,8.65360916,,
1975,,0.137792049,0.53080852,1.09897295,2.164852251,2.895783726,4.442292999,6.654519848,9.200275046,7.666953008,,15.66379586,8.464811222,
1976,,0.077109353,0.525699985,1.323351942,1.953491514,3.417559961,5.503182063,6.459610879,8.601032468,8.372059684,8.583157231,15.66379586,,13.30051903
1977,,0.1828387,0.744605194,1.576300593,2.547584282,3.6065177,6.022960441,7.530523727,10.52538201,5.433055731,12.21445755,8.464811222,16.94467148,
1978,0.03805954,0.107659893,0.666887085,1.385255379,2.541332993,3.613679172,5.49822246,7.286682447,9.671007888,9.525886972,,,,
1979,,0.082844662,0.516403283,1.533982355,2.649999467,4.001395087,4.768916133,7.417854803,9.179848706,9.316674343,17.11770424,11.46960372,,
1980,0.009066752,0.162070749,0.616600244,1.443478468,2.234879255,3.384512609,5.334083919,7.307750116,8.502176872,10.87724992,,0.228184735,,
1981,0.003052547,0.043170038,0.567429689,1.25503259,2.46267973,3.396258495,5.251341116,6.421699234,7.871781524,11.11877642,10.14745392,15.66379586,15.66379586,
1982,0.015872298,0.087248163,0.461088389,1.434035648,2.445177186,3.796452951,5.743236937,8.731168819,9.662544144,12.14086244,12.21445755,10.22435735,16.94467148,
1983,0.001992514,0.04322178,0.525580006,1.209148872,1.690149368,3.068252127,4.156302763,6.42827222,,10.45712667,7.666953008,,,22.77257439
1984,,0.066873,0.557812207,1.282203332,2.334504562,2.608880927,3.438358614,4.074676309,12.18045341,6.727833512,13.30051903,,,
1985,0.003052547,0.109458347,0.605696138,1.300994392,2.385378782,3.59032666,4.609273103,6.270733951,7.504051408,9.865543833,14.44968885,,15.66379586,
1986,0.003052547,0.138595877,0.402753921,1.494338247,2.208661234,2.955854596,3.713253188,6.172387752,6.98147719,10.79451468,6.921287737,,,7.666953008
1987,0.003052547,0.093002113,0.43586644,0.985751117,2.85418584,3.641323952,5.843590961,8.542699932,8.110697314,11.20277208,12.26729,11.94846286,,
1988,0.03822669,0.099250289,0.615821409,1.144751745,1.180158866,3.169061389,5.258533776,5.397397141,10.67960273,7.317336683,,,,
1989,0.003169959,0.136853529,0.524534419,1.204622838,1.963617734,2.963975488,5.793171612,3.912660821,12.21445755,14.26150545,11.43340687,17.61072052,,
1990,0.011395593,0.152982356,0.581152413,1.353657387,2.433820157,3.81138109,6.590663099,8.81820405,11.47813228,12.95769866,,11.18967816,11.69452163,
1991,0.003052547,0.154878623,0.515391375,1.240717032,2.267031148,3.401327596,5.310827726,6.082124699,12.64701195,9.316674343,13.30051903,17.34964885,,
1992,0.050407008,0.095193756,0.613721528,1.086787369,1.943040252,3.376578031,3.372027272,6.662723687,6.974772162,11.56394811,,,,
1993,,0.111070573,0.540307204,1.517904478,2.094919482,2.644779743,7.0973597,5.959092025,5.955192132,,,13.86710116,,
1994,0.016000701,0.116020398,0.504154542,1.48445326,2.99564919,3.939989955,4.333679475,7.908054009,6.921287737,3.711187124,,,,
1995,0.002530125,0.076435366,0.341441845,1.277827656,1.924720995,4.268533425,4.84880737,7.959936222,10.07142855,9.316674343,12.21445755,12.21445755,,
1996,0.005617586,0.086167431,0.451375378,1.272399061,2.516508731,4.963110275,6.51372681,6.283791322,,11.42220735,14.44968885,,,
1997,0.005183932,0.077504558,0.256291711,1.071970774,2.061485026,3.863434315,5.84380443,5.676206705,10.11242798,,10.11061483,,,
1998,0.007506422,0.181587289,0.483077625,1.224128574,2.28533982,3.51998571,5.204385533,6.721175691,10.91752138,12.74971395,14.44968885,,,
1999,0.002729354,0.104595973,0.385345697,1.364905975,1.997664532,3.049970319,4.279665911,7.409291485,10.67872955,,,,,
2000,0.002774981,0.178441552,0.921047203,1.578593319,3.326785344,4.339209455,4.935421055,6.102514879,8.32261692,,,,,13.30051903
2001,0.002563289,0.078251381,0.635123689,1.571510077,2.948223721,4.091933175,5.436370799,5.832840448,,9.30831908,,,,
2002,0.010347605,0.10992513,0.370010124,1.608977196,3.325378928,3.947898295,5.86968786,6.205063654,12.2144412,10.31272527,,,,
2003,0.001372172,0.08915336,0.659314101,1.776306276,2.995388986,4.567834186,6.556119815,7.950642978,10.9,16.55,,,,
2004,0.002721683,,0.614884072,1.395408982,2.964130252,4.604027998,8.986971303,6.955,9.05,,,,,
2005,0.001,0.047978649,0.455705996,1.421472567,2.869249294,4.948715913,5.495239936,8.43546883,,11.97,,13.99,,
2006,0.001655799,0.175148425,0.604573497,1.358649284,1.839484786,3.672414986,4.511231054,5.9,,,,,,
2007,0.002472498,0.095007946,0.946529885,1.213849694,2.580071084,2.988165372,4.136438395,3.04,,,,,6.7,
